구분,소계,자신의 건강상태,자신의 재정상태,주위 친지 친구와의 관계,가정생활,사회생활
종로구,6.172000000000001,6.698,5.682,6.172,6.282,6.023999999999999
중구,6.3839999999999995,6.644,5.9079999999999995,6.5280000000000005,6.464,6.386
용산구,6.2299999999999995,6.724000000000001,5.734,6.2780000000000005,6.258000000000001,6.15
성동구,6.754,7.219999999999999,6.254,6.792,6.82,6.69
광진구,6.367999999999999,6.828,5.82,6.394,6.49,6.318
동대문구,6.461999999999999,6.9,5.91,6.562,6.55,6.394
중랑구,6.506,6.910000000000001,5.997999999999999,6.537999999999999,6.609999999999999,6.478
성북구,6.746,7.15,6.196,6.836,6.9,6.646000000000001
강북구,6.2700000000000005,6.69,5.4799999999999995,6.44,6.51,6.241999999999999
도봉구,6.49,6.76,5.832,6.642,6.715999999999999,6.502000000000001
노원구,6.5920000000000005,7.066,5.917999999999999,6.65,6.814,6.5
은평구,6.598000000000001,7.103999999999999,6.086,6.622,6.782000000000001,6.3839999999999995
서대문구,6.675999999999999,7.142,6.078,6.772,6.81,6.586
마포구,6.766,7.198,6.392000000000001,6.814,6.840000000000001,6.581999999999999
양천구,6.436,6.754,6.202,6.434,6.492,6.308
강서구,6.403999999999999,6.761999999999999,5.82,6.514,6.516,6.4079999999999995
구로구,6.622,7.07,5.948,6.772,6.712000000000001,6.612
금천구,6.264,6.660000000000001,5.608,6.434,6.358,6.268
영등포구,6.406000000000001,6.8100000000000005,6.006,6.386,6.511999999999999,6.302
동작구,6.806,7.178,6.218,6.87,6.978,6.784000000000001
관악구,6.414,6.982000000000001,5.811999999999999,6.453999999999999,6.452,6.364
서초구,6.792,7.264,6.206,6.828,6.968000000000001,6.702
강남구,6.572,6.795999999999999,5.96,6.734,6.81,6.545999999999999
송파구,6.593999999999999,7.014,6.1160000000000005,6.669999999999999,6.669999999999999,6.5
강동구,6.548,6.914,5.862,6.6819999999999995,6.7299999999999995,6.547999999999999
